用户ID,用户身体数据,用户锻炼计划,补剂摄入情况,时间
U002,"女,28岁,163cm,55kg,体脂23.0%",休息日,,2026-06-03
U003,"男,32岁,180cm,85kg,体脂18.2%",硬拉日：传统硬拉5×3 + 杠铃推举5×5 + 高翻3×3 + 农夫走3组 + 脸拉3×15,乳清蛋白(30g)-训练后 | 肌酸(5g)-训练后 | 维生素D3(2000IU)-随早餐 | 鱼油(EPA+DHA 1g)-随餐 | 咖啡因(200mg)-训练前,2026-06-03
U004,"女,30岁,160cm,62kg,体脂28.5%",力量：硬拉3×10 + 上斜哑铃推举3×12 + 坐姿划船3×12 + 哑铃弓步3×10 + 椭圆机25min,乳清分离蛋白(25g)-训练后 | 鱼油(EPA+DHA 2g)-随餐 | 维生素D3(2000IU)-随早餐 | 咖啡因(200mg)-训练前,2026-06-03
U005,"男,22岁,178cm,68kg,体脂14.0%",卧推日：竞争式卧推5×3（85%1RM）+ 3×2（92%1RM）+ 辅助：木板推3×3 + 肱三头肌下压4×8 + 前平举3×10,乳清蛋白(40g)-训练后 | 肌酸(5g)-训练后 | β-丙氨酸(4.8g)-分次 | 咖啡因(300mg)-训练前 | 鱼油(EPA+DHA 2g)-随餐 | 维生素D3(2000IU)-随早餐,2026-06-03
U006,"女,26岁,165cm,58kg,体脂21.0%",腿日：深蹲4×10 + 罗马尼亚硬拉4×10 + 腿举4×12 + 腿弯举3×15 + 站姿提踵4×15,乳清蛋白(30g)-训练后 | 酪蛋白(30g)-睡前 | 肌酸(5g)-训练后 | 维生素D3(1000IU)-随早餐,2026-06-03
U007,"男,35岁,172cm,78kg,体脂20.0%",全身力量：硬拉4×8 + 上斜哑铃卧推4×10 + 高位下拉4×10 + 侧平举3×12 + 臀桥3×12,乳清蛋白(30g)-训练后 | 肌酸(5g)-训练后 | 鱼油(EPA+DHA 2g)-随餐 | 维生素D3(1000IU)-随早餐,2026-06-03
U008,"女,24岁,168cm,60kg,体脂24.0%",力量循环：罗马尼亚硬拉3×10 + 坐姿夹胸3×12 + 反向飞鸟3×12 + 卷腹3×15 + 拉伸15min,乳清蛋白(20g)-训练后 | 鱼油(EPA+DHA 1g)-随餐,2026-06-03
U009,"男,29岁,183cm,90kg,体脂22.0%",低强度有氧：游泳40min,乳清蛋白(35g)-训练后 | 肌酸(5g)-训练后 | HMB(3g)-分次 | 鱼油(EPA+DHA 3g)-随餐 | 维生素D3(2000IU)-随早餐,2026-06-03
U010,"女,27岁,162cm,52kg,体脂19.5%",力量：前蹲4×6 + 抓举或高翻技术训练 + 跳箱5×3 + 药球砸地5×5,分离乳清蛋白(30g)-训练后 | 肌酸(5g)-训练后 | β-丙氨酸(6.4g)-分次 | 瓜氨酸-苹果酸(6g)-训练前 | 鱼油(EPA+DHA 2g)-随餐 | 咖啡因(200mg)-训练前,2026-06-03
U001,"男,25岁,175cm,72.5kg,体脂16.3%",休息日,,2026-06-04
U002,"女,28岁,163cm,54.5kg,体脂22.5%",上肢推拉：上斜卧推4×8 + 引体向上4×8 + 侧平举3×15 + 绳索下压3×12 + 锤式弯举3×10,分离乳清蛋白(25g)-训练后 | 肌酸(5g)-训练后 | β-丙氨酸(3.2g)-分次 | 鱼油(EPA+DHA 2g)-随餐 | 咖啡因(200mg)-训练前,2026-06-04
U003,"男,32岁,180cm,85.5kg,体脂18.0%",休息日,,2026-06-04
U004,"女,30岁,160cm,61.5kg,体脂28.0%",休息或瑜伽 40min,,2026-06-04
U005,"男,22岁,178cm,68.5kg,体脂13.8%",硬拉日：传统硬拉5×2（85%1RM）+ 3×1（95%1RM）+ 辅助：六角杠硬拉3×5 + 杠铃划船4×8,乳清蛋白(40g)-训练后 | 肌酸(5g)-训练后 | β-丙氨酸(4.8g)-分次 | 咖啡因(300mg)-训练前 | 鱼油(EPA+DHA 2g)-随餐 | 维生素D3(2000IU)-随早餐,2026-06-04
U006,"女,26岁,165cm,58.5kg,体脂20.5%",推日：上斜杠铃卧推4×8 + 哑铃飞鸟3×12 + 阿诺德推举3×10 + 前平举3×12 + 双杠臂屈伸3×10,乳清蛋白(30g)-训练后 | 酪蛋白(30g)-睡前 | 肌酸(5g)-训练后 | 维生素D3(1000IU)-随早餐,2026-06-04
U007,"男,35岁,172cm,77.5kg,体脂19.5%",休息日,,2026-06-04
U008,"女,24岁,168cm,59.5kg,体脂23.5%",有氧：椭圆机30min + 核心训练,乳清蛋白(20g)-训练后 | 鱼油(EPA+DHA 1g)-随餐,2026-06-04
U009,"男,29岁,183cm,89kg,体脂21.5%",力量：前蹲3×8 + 引体向上3×8 + 哑铃侧平举3×15 + 单腿臀桥3×10 + 绳索夹胸3×12 + HIIT 15min,乳清蛋白(35g)-训练后 | 肌酸(5g)-训练后 | HMB(3g)-分次 | 鱼油(EPA+DHA 3g)-随餐 | 维生素D3(2000IU)-随早餐,2026-06-04
U010,"女,27岁,162cm,52.5kg,体脂19.0%",有氧耐力：5km计时跑 + 俯卧撑100次（分组完成）,分离乳清蛋白(30g)-训练后 | 肌酸(5g)-训练后 | β-丙氨酸(6.4g)-分次 | 瓜氨酸-苹果酸(6g)-训练前 | 鱼油(EPA+DHA 2g)-随餐 | 咖啡因(200mg)-训练前,2026-06-04
U001,"男,25岁,175cm,72.5kg,体脂16.3%",全身训练：深蹲3×10 + 坐姿推胸3×10 + 俯身划船3×10 + 侧平举3×12 + 臀桥3×12,乳清蛋白(30g)-训练后 | 肌酸(5g)-训练后 | 维生素D3(2000IU)-随早餐,2026-06-05
U002,"女,28岁,163cm,54.5kg,体脂22.5%",下肢：硬拉5×5 + 前蹲4×8 + 臀推4×10 + 腿弯举3×12 + HIIT 15min,分离乳清蛋白(25g)-训练后 | 肌酸(5g)-训练后 | β-丙氨酸(3.2g)-分次 | 鱼油(EPA+DHA 2g)-随餐 | 咖啡因(200mg)-训练前,2026-06-05
U003,"男,32岁,180cm,85.5kg,体脂18.0%",深蹲日：深蹲5×3（加重）+ 卧推5×3 + 引体向上3×5（负重）+ 哑铃划船3×8 + 卷腹3×12,乳清蛋白(30g)-训练后 | 肌酸(5g)-训练后 | 维生素D3(2000IU)-随早餐 | 鱼油(EPA+DHA 1g)-随餐 | 咖啡因(200mg)-训练前,2026-06-05
U004,"女,30岁,160cm,61.5kg,体脂28.0%",力量：深蹲3×12 + 俯身划船3×12 + 哑铃推举3×10 + 臀桥3×15 + HIIT 20min,乳清分离蛋白(25g)-训练后 | 鱼油(EPA+DHA 2g)-随餐 | 维生素D3(2000IU)-随早餐 | 咖啡因(200mg)-训练前,2026-06-05
U005,"男,22岁,178cm,68.5kg,体脂13.8%",休息日,,2026-06-05
U006,"女,26岁,165cm,58.5kg,体脂20.5%",拉日：宽握引体4×6 + 单臂哑铃划船4×10 + 坐姿绳索划船3×12 + 直立划船3×10 + 牧师凳弯举3×10,乳清蛋白(30g)-训练后 | 酪蛋白(30g)-睡前 | 肌酸(5g)-训练后 | 维生素D3(1000IU)-随早餐,2026-06-05
U007,"男,35岁,172cm,77.5kg,体脂19.5%",全身力量：高脚杯深蹲4×10 + 俯身哑铃划船4×10 + 器械推胸3×12 + 弓步3×10 + 平板支撑3×30秒,乳清蛋白(30g)-训练后 | 肌酸(5g)-训练后 | 鱼油(EPA+DHA 2g)-随餐 | 维生素D3(1000IU)-随早餐,2026-06-05
U008,"女,24岁,168cm,59.5kg,体脂23.5%",力量循环：深蹲3×12 + 哑铃划船3×12 + 弹力带推举3×12 + 鸟狗式3×12 + 臀推3×12,乳清蛋白(20g)-训练后 | 鱼油(EPA+DHA 1g)-随餐,2026-06-05
U009,"男,29岁,183cm,89kg,体脂21.5%",休息日,维生素D3(2000IU)-随早餐,2026-06-05
U010,"女,27岁,162cm,52.5kg,体脂19.0%",休息日,鱼油(EPA+DHA 2g)-随餐,2026-06-05
U001,"男,25岁,175cm,72.5kg,体脂16.3%",低强度有氧：快走40min + 核心训练,乳清蛋白(30g)-训练后 | 肌酸(5g)-训练后 | 维生素D3(2000IU)-随早餐,2026-06-06
U002,"女,28岁,163cm,54.5kg,体脂22.5%",有氧：慢跑5km + 核心15min,分离乳清蛋白(25g)-训练后 | 肌酸(5g)-训练后 | β-丙氨酸(3.2g)-分次 | 鱼油(EPA+DHA 2g)-随餐 | 咖啡因(200mg)-训练前,2026-06-06
U003,"男,32岁,180cm,85.5kg,体脂18.0%",辅助训练：后肢抬高3×8 + 双杠臂屈伸3×10 + 锤式弯举3×10 + 拉伸,乳清蛋白(30g)-训练后 | 肌酸(5g)-训练后 | 维生素D3(2000IU)-随早餐 | 鱼油(EPA+DHA 1g)-随餐 | 咖啡因(200mg)-训练前,2026-06-06
U004,"女,30岁,160cm,61.5kg,体脂28.0%",有氧：快走45min,乳清分离蛋白(25g)-训练后 | 鱼油(EPA+DHA 2g)-随餐 | 维生素D3(2000IU)-随早餐 | 咖啡因(200mg)-训练前,2026-06-06
U005,"男,22岁,178cm,68.5kg,体脂13.8%",辅助日：深蹲3×3（轻量）+ 卧推3×3（轻量）+ 引体向上4×6 + 肩推3×10 + 核心训练,乳清蛋白(40g)-训练后 | 肌酸(5g)-训练后 | β-丙氨酸(4.8g)-分次 | 咖啡因(300mg)-训练前 | 鱼油(EPA+DHA 2g)-随餐 | 维生素D3(2000IU)-随早餐,2026-06-06
U006,"女,26岁,165cm,58.5kg,体脂20.5%",腿日：硬拉4×6 + 保加利亚分腿蹲3×10 + 臀推4×10 + 腿弯举3×12 + 核心训练15min,乳清蛋白(30g)-训练后 | 酪蛋白(30g)-睡前 | 肌酸(5g)-训练后 | 维生素D3(1000IU)-随早餐,2026-06-06
U007,"男,35岁,172cm,77.5kg,体脂19.5%",HIIT 20min + 核心15min,乳清蛋白(30g)-训练后 | 肌酸(5g)-训练后 | 鱼油(EPA+DHA 2g)-随餐 | 维生素D3(1000IU)-随早餐,2026-06-06
U008,"女,24岁,168cm,59.5kg,体脂23.5%",瑜伽 45min,乳清蛋白(20g)-训练后 | 鱼油(EPA+DHA 1g)-随餐,2026-06-06
U009,"男,29岁,183cm,89kg,体脂21.5%",力量：深度减脂全身循环：6动作×3轮×45秒工作/15秒休息,,2026-06-06
U010,"女,27岁,162cm,52.5kg,体脂19.0%",综合体能：AMRAP 20分钟：12个引体+15个俯卧撑+20个深蹲+400m划船,分离乳清蛋白(30g)-训练后 | 肌酸(5g)-训练后 | β-丙氨酸(6.4g)-分次 | 瓜氨酸-苹果酸(6g)-训练前 | 鱼油(EPA+DHA 2g)-随餐 | 咖啡因(200mg)-训练前,2026-06-06
U001,"男,25岁,175cm,73kg,体脂16.2%",休息日,维生素D3(2000IU)-随早餐,2026-06-07
U002,"女,28岁,163cm,54kg,体脂22.0%",休息日,鱼油(EPA+DHA 2g)-随餐,2026-06-07
U003,"男,32岁,180cm,86kg,体脂17.8%",休息日,,2026-06-07
U004,"女,30岁,160cm,61kg,体脂27.5%",休息日,维生素D3(2000IU)-随早餐,2026-06-07
U005,"男,22岁,178cm,69kg,体脂13.6%",休息日,维生素D3(2000IU)-随早餐,2026-06-07
U006,"女,26岁,165cm,59kg,体脂20.0%",休息日,鱼油(EPA+DHA 2g)-随餐,2026-06-07
U007,"男,35岁,172cm,77kg,体脂19.0%",休息日,,2026-06-07
U008,"女,24岁,168cm,59kg,体脂23.0%",休息日,,2026-06-07
U009,"男,29岁,183cm,88kg,体脂21.0%",有氧：快走50min,乳清蛋白(35g)-训练后 | 肌酸(5g)-训练后 | HMB(3g)-分次 | 鱼油(EPA+DHA 3g)-随餐 | 维生素D3(2000IU)-随早餐,2026-06-07
U010,"女,27岁,162cm,53kg,体脂18.5%",恢复：游泳30min + 全身拉伸20min,分离乳清蛋白(30g)-训练后 | 肌酸(5g)-训练后 | β-丙氨酸(6.4g)-分次 | 瓜氨酸-苹果酸(6g)-训练前 | 鱼油(EPA+DHA 2g)-随餐 | 咖啡因(200mg)-训练前,2026-06-07
U001,"男,25岁,175cm,73kg,体脂16.2%",全身训练：深蹲3×10 + 卧推3×10 + 坐姿划船3×10 + 哑铃推举3×10 + 平板支撑3×30秒,乳清蛋白(30g)-训练后 | 肌酸(5g)-训练后 | 维生素D3(2000IU)-随早餐,2026-06-08
U002,"女,28岁,163cm,54kg,体脂22.0%",上肢推拉：杠铃卧推5×8 + 俯身划船5×8 + 哑铃推举4×10 + 面拉3×15 + 杠铃弯举3×10 + 有氧20min,分离乳清蛋白(25g)-训练后 | 肌酸(5g)-训练后 | β-丙氨酸(3.2g)-分次 | 鱼油(EPA+DHA 2g)-随餐 | 咖啡因(200mg)-训练前,2026-06-08
U003,"男,32岁,180cm,86kg,体脂17.8%",深蹲日：杠铃深蹲5×5 + 卧推5×5 + 引体向上5×5 + 杠铃划船3×8 + 负重平板支撑3×30秒,乳清蛋白(30g)-训练后 | 肌酸(5g)-训练后 | 维生素D3(2000IU)-随早餐 | 鱼油(EPA+DHA 1g)-随餐 | 咖啡因(200mg)-训练前,2026-06-08
U004,"女,30岁,160cm,61kg,体脂27.5%",力量：深蹲3×12 + 哑铃卧推3×12 + 高位下拉3×12 + 后肢抬高3×12 + HIIT 20min,乳清分离蛋白(25g)-训练后 | 鱼油(EPA+DHA 2g)-随餐 | 维生素D3(2000IU)-随早餐 | 咖啡因(200mg)-训练前,2026-06-08
U005,"男,22岁,178cm,69kg,体脂13.6%",深蹲日：深蹲5×3（85%1RM）+ 3×3（90%1RM）+ 辅助：腿举4×8 + 后肢抬高3×8 + 平板支撑,乳清蛋白(40g)-训练后 | 肌酸(5g)-训练后 | β-丙氨酸(4.8g)-分次 | 咖啡因(300mg)-训练前 | 鱼油(EPA+DHA 2g)-随餐 | 维生素D3(2000IU)-随早餐,2026-06-08
U006,"女,26岁,165cm,59kg,体脂20.0%",推日：杠铃卧推5×8 + 上斜哑铃卧推4×10 + 哑铃推举4×10 + 侧平举3×15 + 绳索下压3×12 + 腹部,乳清蛋白(30g)-训练后 | 酪蛋白(30g)-睡前 | 肌酸(5g)-训练后 | 维生素D3(1000IU)-随早餐,2026-06-08
U007,"男,35岁,172cm,77kg,体脂19.0%",全身力量：深蹲4×10 + 卧推4×10 + 划船4×10 + 哑铃推举3×12 + 卷腹3×15,乳清蛋白(30g)-训练后 | 肌酸(5g)-训练后 | 鱼油(EPA+DHA 2g)-随餐 | 维生素D3(1000IU)-随早餐,2026-06-08
U008,"女,24岁,168cm,59kg,体脂23.0%",力量循环：深蹲3×12 + 弹力带划船3×12 + 哑铃卧推3×12 + 侧平板3×12 + 臀桥3×15,乳清蛋白(20g)-训练后 | 鱼油(EPA+DHA 1g)-随餐,2026-06-08
U009,"男,29岁,183cm,88kg,体脂21.0%",力量：杠铃深蹲4×8 + 卧推4×8 + 宽握高位下拉4×10 + 侧平举3×15 + 卷腹3×20 + 有氧25min,乳清蛋白(35g)-训练后 | 肌酸(5g)-训练后 | HMB(3g)-分次 | 鱼油(EPA+DHA 3g)-随餐 | 维生素D3(2000IU)-随早餐,2026-06-08
U010,"女,27岁,162cm,53kg,体脂18.5%",力量耐力：深蹲4×10 + 引体向上4×10 + 硬拉4×10 + 哑铃推举4×10 + 波比跳20,分离乳清蛋白(30g)-训练后 | 肌酸(5g)-训练后 | β-丙氨酸(6.4g)-分次 | 瓜氨酸-苹果酸(6g)-训练前 | 鱼油(EPA+DHA 2g)-随餐 | 咖啡因(200mg)-训练前,2026-06-08
U001,"男,25岁,175cm,73kg,体脂16.2%",休息日,,2026-06-09
U002,"女,28岁,163cm,54kg,体脂22.0%",下肢：高杠深蹲5×8 + 罗马尼亚硬拉4×10 + 保加利亚分腿蹲3×10 + 小腿提踵3×15 + 椭圆机20min,分离乳清蛋白(25g)-训练后 | 肌酸(5g)-训练后 | β-丙氨酸(3.2g)-分次 | 鱼油(EPA+DHA 2g)-随餐 | 咖啡因(200mg)-训练前,2026-06-09
U003,"男,32岁,180cm,86kg,体脂17.8%",休息日,,2026-06-09
U004,"女,30岁,160cm,61kg,体脂27.5%",有氧：慢跑30min + 核心训练15min,乳清分离蛋白(25g)-训练后 | 鱼油(EPA+DHA 2g)-随餐 | 维生素D3(2000IU)-随早餐 | 咖啡因(200mg)-训练前,2026-06-09
U005,"男,22岁,178cm,69kg,体脂13.6%",休息日,,2026-06-09
U006,"女,26岁,165cm,59kg,体脂20.0%",拉日：引体向上4×8 + T杠划船4×10 + 面拉3×15 + 反向飞鸟3×12 + 杠铃弯举3×10 + 锤式弯举3×10,乳清蛋白(30g)-训练后 | 酪蛋白(30g)-睡前 | 肌酸(5g)-训练后 | 维生素D3(1000IU)-随早餐,2026-06-09
U007,"男,35岁,172cm,77kg,体脂19.0%",低强度有氧：快走40min,乳清蛋白(30g)-训练后 | 肌酸(5g)-训练后 | 鱼油(EPA+DHA 2g)-随餐 | 维生素D3(1000IU)-随早餐,2026-06-09
U008,"女,24岁,168cm,59kg,体脂23.0%",普拉提 40min,乳清蛋白(20g)-训练后 | 鱼油(EPA+DHA 1g)-随餐,2026-06-09
U009,"男,29岁,183cm,88kg,体脂21.0%",力量：硬拉4×6 + 哑铃上斜卧推4×8 + 坐姿划船4×10 + 哑铃推举3×10 + 面拉3×12 + 椭圆机25min,乳清蛋白(35g)-训练后 | 肌酸(5g)-训练后 | HMB(3g)-分次 | 鱼油(EPA+DHA 3g)-随餐 | 维生素D3(2000IU)-随早餐,2026-06-09
U010,"女,27岁,162cm,53kg,体脂18.5%",间歇训练：400m×6组（1:1工作休息）+ 核心20min,鱼油(EPA+DHA 2g)-随餐,2026-06-09
U001,"男,25岁,175cm,73kg,体脂16.2%",全身训练：硬拉3×8 + 上斜哑铃卧推3×10 + 引体向上（辅助）3×8 + 哑铃弯举3×10 + 卷腹3×15,乳清蛋白(30g)-训练后 | 肌酸(5g)-训练后 | 维生素D3(2000IU)-随早餐,2026-06-10
U002,"女,28岁,163cm,54kg,体脂22.0%",休息日,,2026-06-10
U003,"男,32岁,180cm,86kg,体脂17.8%",硬拉日：传统硬拉5×3 + 杠铃推举5×5 + 高翻3×3 + 农夫走3组 + 脸拉3×15,乳清蛋白(30g)-训练后 | 肌酸(5g)-训练后 | 维生素D3(2000IU)-随早餐 | 鱼油(EPA+DHA 1g)-随餐 | 咖啡因(200mg)-训练前,2026-06-10
U004,"女,30岁,160cm,61kg,体脂27.5%",力量：硬拉3×10 + 上斜哑铃推举3×12 + 坐姿划船3×12 + 哑铃弓步3×10 + 椭圆机25min,乳清分离蛋白(25g)-训练后 | 鱼油(EPA+DHA 2g)-随餐 | 维生素D3(2000IU)-随早餐 | 咖啡因(200mg)-训练前,2026-06-10
U005,"男,22岁,178cm,69kg,体脂13.6%",卧推日：竞争式卧推5×3（85%1RM）+ 3×2（92%1RM）+ 辅助：木板推3×3 + 肱三头肌下压4×8 + 前平举3×10,乳清蛋白(40g)-训练后 | 肌酸(5g)-训练后 | β-丙氨酸(4.8g)-分次 | 咖啡因(300mg)-训练前 | 鱼油(EPA+DHA 2g)-随餐 | 维生素D3(2000IU)-随早餐,2026-06-10
U006,"女,26岁,165cm,59kg,体脂20.0%",腿日：深蹲4×10 + 罗马尼亚硬拉4×10 + 腿举4×12 + 腿弯举3×15 + 站姿提踵4×15,乳清蛋白(30g)-训练后 | 酪蛋白(30g)-睡前 | 肌酸(5g)-训练后 | 维生素D3(1000IU)-随早餐,2026-06-10
U007,"男,35岁,172cm,77kg,体脂19.0%",全身力量：硬拉4×8 + 上斜哑铃卧推4×10 + 高位下拉4×10 + 侧平举3×12 + 臀桥3×12,乳清蛋白(30g)-训练后 | 肌酸(5g)-训练后 | 鱼油(EPA+DHA 2g)-随餐 | 维生素D3(1000IU)-随早餐,2026-06-10
U008,"女,24岁,168cm,59kg,体脂23.0%",力量循环：罗马尼亚硬拉3×10 + 坐姿夹胸3×12 + 反向飞鸟3×12 + 卷腹3×15 + 拉伸15min,乳清蛋白(20g)-训练后 | 鱼油(EPA+DHA 1g)-随餐,2026-06-10
U009,"男,29岁,183cm,88kg,体脂21.0%",低强度有氧：游泳40min,乳清蛋白(35g)-训练后 | 肌酸(5g)-训练后 | HMB(3g)-分次 | 鱼油(EPA+DHA 3g)-随餐 | 维生素D3(2000IU)-随早餐,2026-06-10
U010,"女,27岁,162cm,53kg,体脂18.5%",力量：前蹲4×6 + 抓举或高翻技术训练 + 跳箱5×3 + 药球砸地5×5,分离乳清蛋白(30g)-训练后 | 肌酸(5g)-训练后 | β-丙氨酸(6.4g)-分次 | 瓜氨酸-苹果酸(6g)-训练前 | 鱼油(EPA+DHA 2g)-随餐 | 咖啡因(200mg)-训练前,2026-06-10
